Fecha;VAL356CI8017-Conductividad;VAL356M003-Carga Motor;VAL356M014-Carga Motor;VAL356M015-Carga Motor;VAL356PI8026-Ind.Presi—n;VAL356PIC8025-Ind.Presi—n;VAL356TI8015-Ind.Temperatura;VAL356TIC8014-Ind.Temperatura;Estado
28-06-2012 21:38;2,7;70,7927711;19,4407283;21,9208108;19,9821773;20;73,8354941;128,243369;0
28-06-2012 23:38;2,9;70,0141508;18,4236111;21,6499775;20,0396448;20;73,5137601;128,3441976;0
29-06-2012 1:38;2,8;68,8856191;18,8229167;21,1851892;20,0984412;20;73,2196433;128,4284643;0
29-06-2012 3:38;2,9;68,3486203;17,0472222;20,9888889;20,1300011;20;73,3414883;128,3438527;0
29-06-2012 5:38;2,9;67,6966772;18,4701389;21,0402778;20,1520905;20;73,5848355;128,2167836;0
29-06-2012 7:38;2,9;67,7308611;20,5319444;21,2597447;20,1364648;20;73,7913209;128,1581002;0
29-06-2012 9:38;3;67,9971667;21,2347222;21,4759019;20,0428231;20;73,9333993;128,2023607;0
29-06-2012 11:38;3;68,3041547;20,2861111;21,4722198;19,9515348;20;74,0570275;128,2363118;0
29-06-2012 13:38;2,9;68,9240946;20,8381944;21,6333558;19,9353653;20;73,9736588;128,1606889;0
29-06-2012 15:38;2,8;69,4261779;20,1909722;21,6833108;19,9451935;20;73,8298264;128,0575181;0
29-06-2012 17:38;2,8;68,5062844;20,2881944;21,4819669;19,98266;20;73,8748542;128,0237235;0
29-06-2012 19:38;2,8;68,8594258;20,6604661;21,5129669;20,0772981;20;74,2498698;128,0943638;0
29-06-2012 21:38;2,8;69,1405397;20,3721728;21,6092328;20,164363;20;74,6314861;128,1670834;0
29-06-2012 23:38;2,8;69,8085833;21,5541667;21,6944669;20,3816831;20;75,0198336;128,249824;0
30-06-2012 1:38;2,7;70,8037361;21,8514931;21,8777553;20,6438626;20;75,4101474;128,335084;0
30-06-2012 3:38;2,8;71,6349842;21,0083042;21,8625225;20,2428958;20;75,3092761;128,2792185;0
30-06-2012 5:38;2,8;71,4147883;19,4889181;21,5958108;20,3208118;20;74,3501777;128,0109105;0
30-06-2012 7:38;2,7;70,6529722;16,6941369;21,2879669;19,9184914;20;73,7267395;127,7810665;0
30-06-2012 9:38;2,7;69,268244;18,7003075;20,9903003;20,063704;20;73,576227;127,9434789;0
30-06-2012 11:38;2,8;68,5916832;20,5906822;20,4467222;20,0246467;20;73,6403042;128,2045079;0
30-06-2012 13:38;2,8;68,9308506;23,0641789;20,7671442;19,5971329;20;75,6268349;128,3275863;0
30-06-2012 15:38;2,7;70,2483836;23,2597222;21,2402778;19,8086988;20;75,8110777;128,2430014;0
30-06-2012 17:38;2,9;70,5406878;21,7342542;21,1763664;19,9381935;20;74,9032428;128,1636827;0
30-06-2012 19:38;2,9;70,4414842;20,4775514;21,0666892;19,928063;20;74,4599985;128,1552977;0
30-06-2012 21:38;2,9;70,1544167;21,3590278;21,1680556;20,0016256;20;74,3747365;128,1647459;0
30-06-2012 23:38;2,9;70,3358161;22,5095989;21,1819669;20,1077907;20;74,5848622;128,1927684;0
01-07-2012 1:38;2,9;71,2946683;23,4731281;21,3645747;20,1826706;20;74,701405;128,2487515;0
01-07-2012 3:38;2,9;71,2143783;23,6911003;21,2425886;20,1847301;20;74,3549137;128,3025719;0
01-07-2012 5:38;2,8;71,4202486;20,8559644;21,0282447;20,1836314;20;73,9465906;128,3327912;0
01-07-2012 7:38;2,8;70,4387064;19,2909722;20,7833108;20,1788481;20;73,9679262;128,3570771;0
01-07-2012 9:38;2,8;70,0400244;22,4205558;20,5451683;20,1726363;20;74,3437929;128,3682036;0
01-07-2012 11:38;2,8;70,8821116;21,6224233;20,7097222;20,1847848;20;74,6276293;128,3595207;0
01-07-2012 13:38;2,8;71,0625723;21,6513889;20,8583333;20,2394703;20;74,4561141;128,3651104;0
01-07-2012 15:38;2,8;71,1094722;22,0097222;20,85;20,1693232;20;74,2232027;128,510558;0
01-07-2012 17:38;2,7;70,6097083;20,9993056;20,6046336;20,2243441;20;74,1511933;128,6911672;0
01-07-2012 19:38;2,7;70,0632394;23,7011806;20,7592692;20,2849361;20;74,2119445;128,7328448;0
01-07-2012 21:38;2,6;71,5322222;22,3184625;20,8645833;20,3327006;20;74,2571324;128,5653828;0
01-07-2012 23:38;2,7;71,4148108;22,3192181;21,0162222;20,3522709;20;74,225718;128,3963613;0
02-07-2012 1:38;2,7;72,1768058;21,6493056;21,206;20,3668866;20;74,1828044;128,2324438;0
02-07-2012 3:38;2,6;72,8926389;20,4783922;21,6815086;20,4036484;20;73,6473543;128,0698095;0
02-07-2012 5:38;2,4;72,6239336;17,3027119;21,8323594;20,4637602;20;72,7075995;128,0270482;0
02-07-2012 7:38;2,4;70,1320383;19,7243056;20,9740781;20,5079545;20;72,7562281;128,1647368;0
02-07-2012 9:38;2,6;68,2080833;23,6256944;21,6421667;20,4513264;20;73,9681402;128,0657709;0
02-07-2012 11:38;2,7;68,2345539;28,3077764;23,38775;20,3769802;20;75,4805842;127,7182637;0
02-07-2012 13:38;2,7;68,7266336;30,0630625;23,8344897;20,3371115;20;76,8694626;128,4266115;0
02-07-2012 15:38;2,7;69,8111501;26,2151211;24,0935225;20,3335941;20;77,0043414;128,5375476;0
02-07-2012 17:38;2,7;69,4062302;26,9914567;24,0944444;20,3261916;20;77,3857911;128,4561245;0
02-07-2012 19:38;2,6;70,5062606;28,18125;24,4967778;20,294146;20;78,0240236;128,2139767;0
02-07-2012 21:38;2,6;72,2560258;27,8631289;24,8562794;20,2577698;20;78,3219401;127,9657417;0
02-07-2012 23:38;2,6;72,6119775;27,4078503;24,4893108;20,2995333;20;76,1613267;127,6870066;0
03-07-2012 1:38;2,5;70,3123072;28,8454717;23,9888889;20,4236836;20;77,1635897;127,4044879;0
03-07-2012 3:38;2,4;72,3340383;26,3239728;24,6606667;20,5384337;20;77,8863643;127,331006;0
03-07-2012 5:38;2,4;72,2624669;23,4972222;24,6763889;20,5935669;20;75,844073;127,432184;0
03-07-2012 7:38;2,5;71,074961;24,0993056;24,1296336;20,6382232;20;75,7648456;127,5434279;0
03-07-2012 9:38;2,5;70,9794107;25,1652778;24,1203439;20,6055672;20;76,7615487;127,7051074;0
03-07-2012 11:38;2,5;70,8257081;24,3661736;23,9219878;20,4913968;20;77,0504525;127,8738395;0
03-07-2012 13:38;2,6;70,3087658;26,9659722;23,8888889;20,3832946;20;76,7974417;128,099949;0
03-07-2012 15:38;2,6;70,7715622;25,3275356;23,9652778;20,3137086;20;75,8653867;128,3739999;0
03-07-2012 17:38;2,6;70,6140939;26,0487283;23,9032222;20,2508912;20;75,2389734;128,6537139;0
03-07-2012 19:38;2,6;70,2094047;24,8542361;23,5104236;20,2094246;20;75,117509;128,9618032;0
03-07-2012 21:38;2,6;69,6732342;23,2069444;23,4889114;20,1904693;20;75,1776489;129,272895;0
03-07-2012 23:38;2,6;69,7984061;24,9802656;23,6106442;20,1765368;20;76,8087672;129,1273856;0
04-07-2012 1:38;2,5;70,4944669;25,4574261;23,9402778;20,1943867;20;77,4567046;128,6003653;0
04-07-2012 3:38;2,4;70,6386494;24,9282806;23,9703664;20,217822;20;77,9183934;128,181577;0
04-07-2012 5:38;2,4;71,1522728;25,0871383;24,0845103;20,209408;20;78,124715;128,3050899;0
04-07-2012 7:38;2,5;71,5822169;24,4847939;24,3259219;20,2557654;20;78,136983;128,5030979;0
04-07-2012 9:38;2,4;71,9426525;25,3829536;24,4546336;20,4311367;20;77,9889235;128,6412273;0
04-07-2012 11:38;2,3;72,3604081;25,2007253;24,1708108;20,3032569;20;77,1106859;128,7293254;0
04-07-2012 13:38;2,3;72,0951044;23,8576389;24,0333333;20,0517454;20;76,1622991;128,795877;0
04-07-2012 15:38;2,3;71,6719706;22,6930556;23,9351892;20,073652;20;75,3143896;128,7544686;0
04-07-2012 17:38;2,3;70,6819008;22,3840278;23,3555331;20,1983793;20;74,508845;128,6978083;0
04-07-2012 19:38;2,4;69,81362;23,1286814;23,3173681;20,2139272;20,3;74,9679956;128,4395348;0
04-07-2012 21:38;2,3;68,7569458;23,6950894;23,1541892;20,2646216;20,3;76,3754216;128,0128045;0
04-07-2012 23:38;2,2;69,2891944;28,3291667;23,6347222;20,4559787;20,3;78,2788883;127,7343975;0
05-07-2012 1:38;2,3;70,9784153;31,4381944;24,0120261;20,6429883;20,3;78,4884533;128,1991716;0
05-07-2012 3:38;2,3;71,8295083;29,3310625;24,6356667;20,6558611;20,3;78,5390382;128,7649455;0
05-07-2012 5:38;2,3;72,1900658;24,0937547;24,7652917;20,3398998;20;77,4137119;128,6968294;0
05-07-2012 7:38;3,9;72,0318544;26,7813456;24,4300781;20,1277921;20;75,6289601;128,0990694;0
05-07-2012 9:38;10,1;71,2154283;68,4349831;6,6546442;20,1530745;20;76,803619;127,2815256;0
05-07-2012 11:38;8,6;76,4749831;36,7892708;0,0569444;19,367376;19,2;75,525259;117,6272856;0
05-07-2012 13:38;3,8;69,1848889;40,9721875;33,8689028;20,0584697;19,7;78,5920316;125,9878439;0
05-07-2012 15:38;2,8;73,9035781;25,6813333;46,0134444;20,2629633;20;80,5614516;126,2040947;0
05-07-2012 17:38;3,1;73,3259828;43,7652392;44,6800556;20,2123232;20;80,0840039;126,3944397;0
05-07-2012 19:38;3,3;69,7224497;41,3730325;44,6838108;20,1433777;20;80,9659438;128,4187897;0
05-07-2012 21:38;3,4;71,1947222;30,7936172;46,2856892;20,0664093;20;80,205251;128,4545928;0
05-07-2012 23:38;3,4;72,4815381;29,0535486;46,1837708;20,0432873;20;80,3141744;128,4084351;0
06-07-2012 1:38;3,3;74,1682771;30,24375;46,0479236;20,1611875;20;80,9186696;128,040692;0
06-07-2012 3:38;3,1;74,7322124;28,0798611;46,0861111;20,2939383;20;79,2627526;127,5567992;0
06-07-2012 5:38;3,2;73,6135067;36,8422292;45,5435139;20,6181634;20;78,82846;127,3332246;0
06-07-2012 7:38;3,3;73,0312886;51,4110694;45,8904514;20,9137709;20;78,462825;127,6715446;0
06-07-2012 9:38;3,3;71,5477014;50,6846806;45,2569289;20,242738;20;78,4114841;128,0178808;0
06-07-2012 11:38;3,2;71,5884219;52,2347222;45,3009219;20,1737274;20;78,4021397;128,1732763;0
06-07-2012 13:38;3,2;71,0110886;52,8070278;45,4477117;20,2086548;20;79,0957908;128,2597082;0
06-07-2012 15:38;3,2;72,9470036;54,4859136;46,0856736;19,910539;20;80,0793345;128,2698359;0
06-07-2012 17:38;3,3;75,1216128;52,4555317;46,8875;20,0529775;20;79,2033971;128,1152617;0
06-07-2012 19:38;3,2;74,0866961;52,6341103;46,8589983;20,2703283;20;78,5366238;127,9646573;0
